frameNumber,"TDEP, m","DVER, m","BDIA, in","ROPA, m/h","HKLA, t","HKLX, t","WOBA, t","TQA, kJ","TQX, kJ","RPMA, c/min","RPMB, c/min","SPPA, bar","TVA, m3","MFOA, L/min","MFIA, L/min","MDOA, sg","MDIA, sg","MTOA, degC","MTIA, degC","MROA, ohm.m","MRIA, ohm.m","ECDT, sg","BDTI, h","BDDI, m","BRTI, h","BRVC, ","TCTI, h","FPPG, sg","DXC, ","GASA, ","GASX, ","HSA, ","HSX, ","MTHA, ppm","ETHA, ppm","PRPA, ppm","IBTA, ppm","NBTA, ppm","IPNA, ppm","NPNA, ppm","EPNA, ppm","C1C2, ","C1C3, ","C1C4, ","C1C5, ","LITH, ","WLFL, ","WLCL, ","CCAL, ","CDOL, "
1,223.0,223.0,26.0,1.5,96.38999938964844,100.83999633789062,0.1899999976158142,3.2200000286102295,7.369999885559082,59.4900016784668,129.47999572753906,84.75,5.050000190734863,-999.25,3499.699951171875,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,0.03999999910593033,0.10000000149011612,3.440000057220459,360.80999755859375,3.440000057220459,0.0,0.8600000143051147,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2,224.0,224.0,26.0,3.8399999141693115,97.11000061035156,104.37000274658203,0.6000000238418579,3.190000057220459,11.720000267028809,59.900001525878906,127.30000305175781,77.0999984741211,5.050000190734863,-999.25,3369.679931640625,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,0.36000001430511475,0.10000000149011612,3.75,2914.889892578125,3.75,0.0,0.8700000047683716,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3,225.0,225.0,26.0,3.509999990463257,96.76000213623047,103.19000244140625,0.5799999833106995,3.9000000953674316,13.619999885559082,59.72999954223633,129.7100067138672,85.55999755859375,5.050000190734863,-999.25,3499.0,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,0.6399999856948853,0.10000000149011612,4.449999809265137,5035.77001953125,4.449999809265137,0.0,0.8799999952316284,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
4,226.0,226.0,26.0,21.850000381469727,97.11000061035156,104.76000213623047,0.36000001430511475,0.009999999776482582,0.009999999776482582,0.7799999713897705,53.09000015258789,53.66999816894531,5.050000190734863,-999.25,2615.820068359375,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,1.1399999856948853,3.190000057220459,5.449999809265137,7342.35009765625,5.449999809265137,0.0,0.47999998927116394,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
5,227.0,227.0,26.0,33.790000915527344,94.76000213623047,96.5199966430664,2.549999952316284,0.009999999776482582,0.009999999776482582,0.7799999713897705,50.38999938964844,53.959999084472656,5.050000190734863,-999.25,2480.800048828125,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,1.1799999475479126,4.380000114440918,5.590000152587891,7537.83984375,5.590000152587891,0.0,0.5600000023841858,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
6,228.0,228.0,26.0,39.88999938964844,95.44999694824219,96.91999816894531,1.840000033378601,0.009999999776482582,0.009999999776482582,0.7799999713897705,50.38999938964844,49.869998931884766,5.050000190734863,-999.25,2480.800048828125,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,1.2000000476837158,5.289999961853027,5.619999885559082,7672.7099609375,5.619999885559082,0.0,0.5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
7,229.0,229.0,26.0,40.0,97.27999877929688,98.08999633789062,0.4699999988079071,0.009999999776482582,0.009999999776482582,0.7799999713897705,50.38999938964844,47.5,5.050000190734863,-999.25,2480.800048828125,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,1.2200000286102295,6.159999847412109,5.639999866485596,7805.89990234375,5.639999866485596,0.0,0.4099999964237213,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
8,230.0,230.0,26.0,46.189998626708984,94.5,98.4800033569336,1.159999966621399,0.009999999776482582,0.009999999776482582,0.7799999713897705,50.38999938964844,46.630001068115234,5.050000190734863,-999.25,2480.800048828125,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,1.25,7.389999866485596,5.670000076293945,7974.52978515625,5.670000076293945,0.0,0.44999998807907104,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
9,231.0,231.0,26.0,27.889999389648438,91.73999786376953,97.69999694824219,5.769999980926514,0.009999999776482582,0.009999999776482582,0.7799999713897705,50.38999938964844,54.04999923706055,5.050000190734863,-999.25,2480.800048828125,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,1.2899999618530273,8.300000190734863,5.699999809265137,8154.75,5.699999809265137,0.0,0.6800000071525574,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
10,232.0,232.0,26.0,23.799999237060547,88.81999969482422,94.55999755859375,8.420000076293945,0.009999999776482582,0.009999999776482582,0.7799999713897705,50.38999938964844,56.58000183105469,5.050000190734863,-999.25,2480.800048828125,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,1.3200000524520874,9.1899995803833,5.739999771118164,8326.580078125,5.739999771118164,0.0,0.7699999809265137,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
11,233.0,233.0,26.0,33.400001525878906,86.16000366210938,91.41999816894531,10.359999656677246,0.009999999776482582,0.009999999776482582,0.7799999713897705,50.38999938964844,61.43000030517578,5.050000190734863,-999.25,2480.800048828125,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,1.3600000143051147,10.380000114440918,5.78000020980835,8523.759765625,5.78000020980835,0.0,0.7300000190734863,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
12,234.0,234.0,26.0,36.0099983215332,84.12000274658203,87.9000015258789,11.65999984741211,0.009999999776482582,0.009999999776482582,0.7799999713897705,50.38999938964844,67.3499984741211,5.050000190734863,-999.25,2480.800048828125,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,1.3799999952316284,11.300000190734863,5.800000190734863,8667.0302734375,5.800000190734863,0.0,0.7300000190734863,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
13,235.0,235.0,26.0,34.900001525878906,82.88999938964844,86.72000122070312,13.430000305175781,0.009999999776482582,0.009999999776482582,0.7799999713897705,50.38999938964844,69.98999786376953,5.050000190734863,-999.25,2480.800048828125,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,1.409999966621399,12.1899995803833,5.829999923706055,8810.2900390625,5.829999923706055,0.0,0.7699999809265137,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
14,236.0,236.0,26.0,30.09000015258789,82.83999633789062,88.68000030517578,15.130000114440918,0.009999999776482582,0.009999999776482582,0.7799999713897705,50.38999938964844,73.2300033569336,5.050000190734863,-999.25,2480.800048828125,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,1.4500000476837158,13.399999618530273,5.860000133514404,9019.240234375,5.860000133514404,0.0,0.8199999928474426,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
15,237.0,237.0,26.0,26.270000457763672,83.0999984741211,87.9000015258789,14.510000228881836,0.009999999776482582,0.009999999776482582,0.7799999713897705,50.38999938964844,72.12999725341797,5.050000190734863,-999.25,2480.800048828125,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,1.4800000190734863,14.289999961853027,5.900000095367432,9187.7001953125,5.900000095367432,0.0,0.8500000238418579,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
16,238.0,238.0,26.0,19.25,84.80000305175781,89.45999908447266,12.84000015258789,0.009999999776482582,0.009999999776482582,0.7799999713897705,50.38999938964844,68.56999969482422,5.050000190734863,-999.25,2480.800048828125,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,1.5299999713897705,15.1899995803833,5.940000057220459,9399.83984375,5.940000057220459,0.0,0.8999999761581421,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
17,239.0,238.99000549316406,26.0,16.43000030517578,86.23999786376953,112.20999908447266,10.369999885559082,0.009999999776482582,0.009999999776482582,0.7799999713897705,58.0,77.80999755859375,5.050000190734863,-999.25,2861.2900390625,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,1.6100000143051147,16.399999618530273,6.380000114440918,9721.6396484375,6.380000114440918,0.0,0.9200000166893005,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
18,240.0,239.99000549316406,26.0,17.729999542236328,87.86000061035156,90.25,10.140000343322754,0.009999999776482582,0.009999999776482582,0.7799999713897705,58.369998931884766,77.91000366210938,5.050000190734863,-999.25,2879.5,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,1.659999966621399,17.299999237060547,6.449999809265137,9964.6904296875,6.449999809265137,0.0,0.8999999761581421,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
19,241.0,240.99000549316406,26.0,18.06999969482422,86.80999755859375,92.20999908447266,10.489999771118164,0.009999999776482582,0.009999999776482582,0.7799999713897705,58.369998931884766,80.20999908447266,5.050000190734863,-999.25,2879.5,-999.25,1.0299999713897705,-999.25,0.0,-999.25,0.0,1.0299999713897705,1.7100000381469727,18.200000762939453,6.5,10203.7998046875,6.5,0.0,0.8999999761581421,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
